,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI_017349,1149.36963223099,5.39636953974917,0.443710780134169,12.1619076690393,4.95870116720611e-34,1.01221966926178e-29
PMI_027270,1706.33679412967,4.5774190277145,0.435606153857884,10.5081596923626,7.92243927522773e-26,8.08603764626118e-22
PMI_000092,984.103079373263,3.95087567820982,0.516430573613935,7.65035201258891,2.00429880794699e-14,1.36379171888739e-10
PMI_001624,426.274983413744,3.37977656409217,0.445694088936771,7.58317565340572,3.37197831065204e-14,1.7208048313835e-10
PMI_021839,299.898917783147,-3.09207651042253,0.431415654327798,-7.16727934975004,7.65028280781061e-13,3.12330445911676e-09
PMI_006810,314.60425037135,-3.88129082509428,0.545386138749645,-7.11659235416681,1.10628058245389e-12,3.76375092160522e-09
PMI_012632,764.362336600944,4.88958266536611,0.689871735499262,7.08766921988405,1.36389483102168e-12,3.97731216937794e-09
PMI_015010,438.50711035784,-3.07411043005185,0.448792137255061,-6.84974217430363,7.39832051627435e-12,1.77577856930894e-08
PMI_021875,151.078721076514,-3.20093233797582,0.467860592303008,-6.84163699750705,7.82932793993068e-12,1.77577856930894e-08
PMI_008847,1130.05345898749,-2.74187732110727,0.401795621855323,-6.82405972580397,8.85030582783586e-12,1.80661292863614e-08
PMI_009038,522.828982554344,-2.80141872504125,0.412810446931054,-6.78621082840263,1.15116893604043e-11,2.13625559012666e-08
PMI_001510,132.899076414595,-3.31177299047613,0.494075749321873,-6.70296608368573,2.04230880690062e-11,3.47413747293854e-08
PMI_008872,278.771312049112,-2.9043263976878,0.434790952603904,-6.67982252228154,2.39231790965967e-11,3.75649119152944e-08
PMI_016293,82.6717523150997,3.36058186376626,0.504752772638007,6.65787697649035,2.77811153714404e-11,4.05068505769438e-08
PMI_015901,446.653863453156,2.9566352511955,0.45662600320024,6.47496031867233,9.48368612512158e-11,1.29060323248071e-07
PMI_012218,304.823589737262,2.96403194142927,0.461326792720039,6.42501582002852,1.31855803634101e-10,1.62733666119722e-07
PMI_012931,471.544089760598,2.7442239154191,0.427393333008926,6.42083931468765,1.35525024446935e-10,1.62733666119722e-07
PMI_004374,93.4123435461499,-3.29598138284492,0.51448592279287,-6.40635872980312,1.49036071857366e-10,1.69015185268023e-07
PMI_008871,76.3025012350619,-3.85310379130128,0.602787180420162,-6.39214621089908,1.63573372436798e-10,1.75738065871177e-07
PMI_014133,501.80664169385,-3.31942079199175,0.530696945310198,-6.25483304798657,3.97941379422073e-10,3.86817970387751e-07
PMI_022566,210.699134856588,3.01807406096938,0.482072619808337,6.26062119472644,3.8344693330194e-10,3.86817970387751e-07
PMI_014818,125.529580082105,-3.05653430349402,0.491128875701523,-6.22348726518696,4.86224300246329e-10,4.51149847314924e-07
PMI_026476,173.618820513572,-3.15459471828485,0.509279481287551,-6.1942309364388,5.8570299461978e-10,5.19824140398851e-07
PMI_017093,67.6350042733617,-4.11470587101782,0.667306306674704,-6.16614263923574,6.99759671744422e-10,5.95174757471621e-07
PMI_011416,221.692051271863,-2.67894942358098,0.440887615668063,-6.07626371977278,1.23015040990317e-09,1.00444241269414e-06
PMI_015924,196.986862706626,-3.11161057840932,0.513094793082063,-6.0643971062705,1.32449538569455e-09,1.03988170416088e-06
PMI_003505,179.64778033796,-2.746752284105,0.456482302634002,-6.01721527484339,1.7744303869884e-09,1.34153509220719e-06
PMI_027296,307.157100295516,2.71005429888189,0.452289612758878,5.99185615241325,2.07459394667852e-09,1.5124530797696e-06
PMI_026189,157.334269875116,2.78746036209139,0.466997893190362,5.96889279959801,2.38868984119786e-09,1.68139054235765e-06
PMI_006747,121.479794621691,-2.77936107348003,0.475105266530652,-5.84999003226313,4.91602472028728e-09,3.23712298758788e-06
PMI_022698,394.078380839784,2.46619819965984,0.421382911717066,5.85262983164288,4.83860255622906e-09,3.23712298758788e-06
PMI_024954,71.5987061859886,-3.04013714601055,0.527463551315033,-5.76369142176953,8.22938182087395e-09,5.24957409717187e-06
PMI_012957,69.9337977876648,-3.07424430915347,0.534483359860595,-5.75180546304623,8.82953681043114e-09,5.46173742155548e-06
PMI_010668,101.373899321582,-2.85978375764193,0.498319119775592,-5.73886018848681,9.53158648121862e-09,5.72259631885634e-06
PMI_020637,38.0829528799813,4.39323220825381,0.767918556501485,5.72096112414405,1.05923134176161e-08,6.1777398226799e-06
