,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI_000690,1089.29984120298,-1.36179428425711,0.202636811590324,-6.72036967799457,1.81264090539151e-11,6.38092756814605e-09
PMI_027638,7178.23970716625,-1.17228123254509,0.175198008943503,-6.69117896723994,2.21379717000885e-11,7.61185840897231e-09
PMI_021805,163.84046267897,-2.41541763015995,0.363561190438332,-6.64377192529206,3.05755585964611e-11,1.02740825874699e-08
PMI_014330,13393.6480759519,-1.1861168101842,0.178660895667017,-6.63892792967324,3.15972833364102e-11,1.03814629806406e-08
PMI_005790,1176.68059668748,1.32671860175905,0.201950713655058,6.56951677836182,5.04788068953531e-11,1.59320090592527e-08
PMI_018775,482.86558455055,1.58175972013175,0.24079068559987,6.56902369869995,5.06462242668162e-11,1.59320090592527e-08
PMI_004367,235.020349173784,-1.94315267974364,0.299372374114039,-6.49075481829009,8.54073758325878e-11,2.63072510767669e-08
PMI_001777,6395.88348306304,-1.17585921343422,0.183422192695646,-6.41067035647824,1.44881159029533e-10,4.37156721684009e-08
PMI_018150,739.994508264355,1.40161355315171,0.220139434465471,6.36693537691245,1.92842374559772e-10,5.70234901573246e-08
PMI_014117,11927.3364124319,-1.10697160811567,0.173965893108877,-6.36315307749931,1.97653524677423e-10,5.73001443599156e-08
PMI_005001,10344.7360235749,-1.08486296357792,0.172273048150938,-6.29734584267305,3.0278523154813e-10,8.60899932392136e-08
PMI_014352,311.578349578535,-1.68553389548611,0.26795115250966,-6.29045212046755,3.1654267362376e-10,8.83034609344773e-08
PMI_012984,2361.52960352142,1.219883551502,0.194510622296692,6.27155235584656,3.57466056138797e-10,9.77141280225204e-08
PMI_012986,3927.34445334232,1.14581641842736,0.182776503956862,6.26894810668767,3.63495234442923e-10,9.77141280225204e-08
PMI_008192,11876.9297405068,-1.08146828001543,0.173001582925051,-6.25120453657325,4.07299045066331e-10,1.07534221094745e-07
PMI_005791,618.975932604871,1.48410350579421,0.2375197123903,6.24833825731268,4.14842505494129e-10,1.07604323574223e-07
PMI_015010,490.874420333173,-1.48552414725868,0.238111822107178,-6.23876687059251,4.41033699571665e-10,1.1242557324426e-07
PMI_005662,2338.08368077481,1.13707939552299,0.182853621436018,6.21852269915725,5.01857355433341e-10,1.25762050848847e-07
PMI_020546,1732.66831848147,-1.16517264748398,0.188050912260093,-6.19604889697333,5.78981465842163e-10,1.42670682874606e-07
PMI_004960,2393.03397965424,1.13957451410937,0.184024076504018,6.19252945461457,5.92062810327709e-10,1.43502436896642e-07
PMI_002300,7610.59597207242,-1.11227364975483,0.179759636520505,-6.18756062976326,6.11023491515658e-10,1.45709392291274e-07
PMI_005167,5516.11559651666,-1.1863954497424,0.192199520190603,-6.17272846761458,6.71214321384172e-10,1.5752228161373e-07
PMI_003425,2058.63423407924,-1.16036418963872,0.18820458407019,-6.1654406313821,7.02871378314004e-10,1.62374270755821e-07
PMI_004718,6158.83657607926,-1.12757577140365,0.183684169456239,-6.1386660306199,8.32173081136631e-10,1.89287369301617e-07
PMI_021078,62.8215098192598,6.89257010976496,1.12931868077181,6.10329947349701,1.03900901208081e-09,2.3275376126689e-07
PMI_010248,10413.6017014364,-1.12727981708987,0.184784829839218,-6.100499797904,1.05737316009636e-09,2.33332271224249e-07
PMI_006282,237.339312553674,-1.79776781526421,0.297540009390622,-6.04210445158663,1.52116930508086e-09,3.30742473170889e-07
PMI_020033,206.488807744078,-1.85021145063104,0.307033758775502,-6.02608474719512,1.67979126541236e-09,3.59937882016257e-07
PMI_024244,745.357629979926,-1.34857348297669,0.224180633131548,-6.01556639455715,1.79258810266909e-09,3.78620215685179e-07
PMI_011136,319.592230598115,-1.57631363244319,0.264183976665552,-5.96672687094398,2.42060092309656e-09,5.04064572506797e-07
PMI_022480,8289.40554036758,-1.03141199500798,0.173133073059768,-5.95733661269864,2.5638182081606e-09,5.26472947328534e-07
PMI_027346,7463.72373469126,1.14878047045175,0.194692526715162,5.90048570345193,3.62433025550691e-09,7.3405099763931e-07
PMI_004287,66.3661811113458,-3.5120864745742,0.595572512640073,-5.8969922218299,3.70187303932669e-09,7.39624228195204e-07
PMI_027911,572.992096980902,1.46583319367427,0.249388910082813,5.87769998749153,4.16005985753938e-09,8.2008646658293e-07
PMI_025657,71338.7485885396,-1.01589597997935,0.17299137693738,-5.87252380994162,4.2921003780583e-09,8.34982948547263e-07
PMI_010148,1095.51836724097,1.16827595628376,0.199597547339492,5.8531578762171,4.82325867066591e-09,9.2612830449085e-07
PMI_001757,381.164567575772,-1.46364022463147,0.250640835353085,-5.83959203044308,5.23288040745715e-09,9.91899190054538e-07
PMI_016762,8555.676164228,-0.998973344499428,0.171168674877098,-5.83619254642655,5.34071741394951e-09,9.99525404623336e-07
PMI_006074,142.135451077388,-2.1267995352741,0.365868671398537,-5.8130135251657,6.13581017822155e-09,1.12568168123184e-06
