,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.12802,5048.47922003204,1.75914906458441,0.304706626244335,5.7732550363831,7.77546156440705e-09,1.2579704199096e-06
WHL22.265351,390.452566070203,-1.85048716052301,0.32099895200919,-5.76477633007984,8.1766206535179e-09,1.30894786209158e-06
WHL22.88832,644.932135597909,2.0032373144765,0.351225768489262,5.70356020030389,1.17330573064388e-08,1.85871182829501e-06
WHL22.698833,312.137175987605,1.52621622218216,0.267737525856607,5.70041953326917,1.19512936071659e-08,1.8737657028637e-06
WHL22.242965,1317.35712997452,1.79242432146687,0.316054408474542,5.67125239644063,1.41757370073842e-08,2.19984294294183e-06
WHL22.104163,54.7153584468841,2.81721279847671,0.498676870508136,5.64937530711232,1.61031941369448e-08,2.47371087307733e-06
WHL22.450938,1366.57560590028,1.66352529545283,0.296310485978038,5.61412901052756,1.97554785718045e-08,3.00441318120003e-06
WHL22.9486,1866.47757685081,1.43401516183322,0.257527114661209,5.56840456865968,2.57082364509425e-08,3.87099861332608e-06
WHL22.122762,2285.31911400613,1.85239076901765,0.334113263545087,5.54420003971999,2.95301086345271e-08,4.4028812952342e-06
WHL22.604594,2896.94733577141,1.60504232842836,0.290017552607884,5.53429374875957,3.12484895221441e-08,4.61385464711424e-06
WHL22.150251,740.431760911376,1.50687515536298,0.272441243256707,5.53100968616243,3.18392741491841e-08,4.65588155058454e-06
WHL22.678769,2785.01308869159,1.28799377194857,0.233914989027929,5.50624727941133,3.6656354955858e-08,5.30923663017799e-06
WHL22.131662,209.492817135218,1.74108206091156,0.317233221261839,5.48833458862276,4.05740969320296e-08,5.82123458624817e-06
WHL22.181611,209.393911160982,1.60949977101898,0.293544415231068,5.48298549557495,4.18207318593739e-08,5.88897861219777e-06
WHL22.609698,798.531437820117,1.94445098860957,0.354550732378597,5.4842673023539,4.15186591157163e-08,5.88897861219777e-06
WHL22.292597,1018.34795896078,1.40291390406889,0.256221943294006,5.47538546477688,4.36560256751792e-08,6.09101686668005e-06
WHL22.403052,162.013742894396,-1.76162742110355,0.322249922503092,-5.46664963460666,4.58621287949041e-08,6.34064777011729e-06
WHL22.23605,51.2876636419335,2.5761572462402,0.471984757021041,5.45813653495881,4.81157611414283e-08,6.59229275170127e-06
WHL22.435083,112.824776190754,-2.00070977615556,0.368927951499683,-5.42303657942621,5.85949957593783e-08,7.95636335275558e-06
WHL22.718725,187.892988379954,-1.57538742791472,0.290920419199074,-5.41518341081688,6.1225913201507e-08,8.24003263688954e-06
WHL22.591213,309.516033927157,-1.6164611461939,0.298740249135187,-5.41092521303488,6.2699954940219e-08,8.3643939888671e-06
WHL22.43754,1993.11438117395,1.90925917222622,0.353722723375543,5.39761526770556,6.75324867097271e-08,8.87510449031233e-06
WHL22.43827,184.217183456487,-1.59635453116186,0.295775520017804,-5.39718273867211,6.76954314095365e-08,8.87510449031233e-06
