,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.119492,3245.55267933067,-1.42077706602224,0.0312188137010555,-45.5102836266389,0,0
WHL22.131957,1624.54508580255,-2.42464178953463,0.053752830723405,-45.1072391333411,0,0
WHL22.183905,2095.33539153785,1.85644985974692,0.0422831387543778,43.9052046379766,0,0
WHL22.192605,11075.6432587421,1.12898872443424,0.0177265841204948,63.6890173966991,0,0
WHL22.21036,1588.50928572571,1.56569985989643,0.0409466890546785,38.2375204453199,0,0
WHL22.250276,24061.2834470023,0.657863935679578,0.0131043463637798,50.2019648609032,0,0
WHL22.255599,7426.64510643026,0.832140895910189,0.0204320962233066,40.7271425709603,0,0
WHL22.415416,15823.1381499106,0.739639331747376,0.0168137715016052,43.9900906038104,0,0
WHL22.42273,6406.14368459877,1.20105906355263,0.0212827735101889,56.4333902711331,0,0
WHL22.433365,7017.96875022775,1.31113168345933,0.0229941507814492,57.0202264011027,0,0
WHL22.434447,1489.48768534443,2.45150328112102,0.0459243191584768,53.381374531897,0,0
WHL22.483798,4620.9440126811,1.15818952889185,0.0256881861963564,45.0864658189112,0,0
WHL22.519961,11100.2771865059,0.655825433006989,0.0163857469065921,40.0241402937297,0,0
WHL22.538597,6594.74422708993,1.51792341441149,0.0217259565536977,69.8668162508659,0,0
WHL22.544197,4524.19279014785,-1.17048358990043,0.0254689130714857,-45.9573436296686,0,0
WHL22.577814,3662.98314612071,1.4766766715876,0.0327006901635691,45.1573549121212,0,0
WHL22.598028,245713.36562865,-0.640070737438173,0.011149653540212,-57.4072310973354,0,0
WHL22.620148,12921.206129292,1.40758087519069,0.0206058030542429,68.3099256789633,0,0
WHL22.626998,1639.91510579462,1.48705521006015,0.0383232598467402,38.8029415035956,0,0
WHL22.637512,1699.13402469454,1.61873169194466,0.040995179166299,39.4859035833992,0,0
WHL22.756114,7590.05011264942,1.18309162139319,0.0204182144105443,57.9429521898948,0,0
WHL22.699183,8864.82147310084,0.728930145212542,0.0198384185060354,36.7433596075605,1.48420103469022e-295,8.88429246628887e-293
WHL22.7559,4725.85864211567,0.836349428195797,0.0242202886971736,34.5309438154384,2.75435908542725e-261,1.57705020852137e-258
WHL22.194357,2063.06333949424,1.1614214609148,0.0342510485721589,33.9090775124142,4.89557944741779e-252,2.68624523929354e-249
WHL22.418802,13954.7900546406,0.587677164347046,0.0174534248963446,33.6711658506708,1.52819130982203e-248,8.04990054361851e-246
WHL22.736391,4269.20072770243,0.853702923502125,0.0257030268923563,33.2141007001788,6.7374368097158e-242,3.41251174412106e-239
WHL22.115545,11717.7998475142,0.607564485675261,0.0183357927338973,33.1354359472039,9.1810938500433e-241,4.47799351523038e-238
WHL22.576155,719.436512109754,2.1393221841164,0.0648659262689416,32.9806773319866,1.53738518361532e-238,7.23065195822507e-236
WHL22.498977,564.58644397145,2.67531545763932,0.0816777725451257,32.7545104901245,2.61890468670085e-235,1.18925364893667e-232
WHL22.567445,1273.89097522255,1.59422597473875,0.0489076448209601,32.5966621491354,4.57311619226086e-233,2.00744557119611e-230
WHL22.608229,2526.97483892028,0.965344428007431,0.0301698224638405,31.9970205049907,1.1996042607083e-224,5.09599629331211e-222
WHL22.318085,9012.41434271506,0.617591359186097,0.0196241484090531,31.4709890239714,2.16739390856823e-217,8.91950324435468e-215
WHL22.450320,4924.92195426775,0.72486343295885,0.023516073103583,30.8241699099161,1.24338042518163e-208,4.81590494682849e-206
WHL22.115549,9145.66212612118,0.54536587243354,0.0181704603574707,30.013872059621,6.46906999758385e-198,2.43403379423376e-195
WHL22.161068,9800.94217671696,-0.568939911176375,0.0193449286732275,-29.4102873567976,4.05673228954988e-190,1.48397520891895e-187
WHL22.498974,398.186251031577,2.83934577490642,0.0992123785662882,28.6188660723352,3.91374361441419e-180,1.39297539616812e-177
WHL22.356292,1413.18317174747,1.49357114399662,0.0527231789344358,28.3285487366755,1.53838925146289e-176,5.33132843487231e-174
WHL22.263123,471.600756265163,2.50483427651213,0.0888679652116422,28.1860203566806,8.67675170970581e-175,2.92984982731066e-172
WHL22.123729,887.73335045369,1.45068920488832,0.0533999631952837,27.1664832348881,1.6172927929227e-162,5.32453219749976e-160
WHL22.289826,3353.71512671369,0.752448692284364,0.0281933157711477,26.688903795218,6.33207791804501e-157,2.03383253909109e-154
WHL22.306546,744.994364154204,1.59067647014884,0.0608904223866383,26.123590669949,1.96733353683046e-150,6.16852746345722e-148
WHL22.111908,1630.26796786259,1.04832981452796,0.0413742237642035,25.3377518452675,1.22632931782872e-141,3.67034790601964e-139
WHL22.538480,339.730245623796,2.46262971778591,0.0983186668478947,25.0474278866674,1.86222279326802e-138,5.44969154767701e-136
WHL22.276748,3306.02214240512,0.803455080769175,0.0324754823572928,24.7403586474752,3.93716214428078e-135,1.12714104952247e-132
WHL22.613078,5896.70426664473,0.572389457857613,0.0232235447945079,24.6469461454901,3.96831475164848e-134,1.1118880205204e-131
WHL22.224743,781.701566800413,1.33396045470516,0.0541826913229158,24.6196787596813,7.77669045194791e-134,2.13356742836879e-131
WHL22.177151,463.433953302516,1.67560761515577,0.070356964688045,23.8158030634952,2.29103291802109e-125,6.15726785661627e-123
WHL22.43754,598.844370824533,1.53017976457329,0.0648451044568806,23.5974600918531,4.09262573820766e-123,1.07791576692913e-120
WHL22.581562,3479.48196460051,0.644877793354642,0.0275955677355668,23.3688902339011,8.85746862337641e-121,2.28713733924008e-118
WHL22.756116,724.988257968635,1.38468451316332,0.0608043885947596,22.7727725771862,8.53712427597541e-115,2.16202672289077e-112
WHL22.712847,1283.90515584978,1.02698523588461,0.0464982713143003,22.0865250869824,4.25926336236413e-108,1.05830640035799e-105
WHL22.22055,299.938998342875,2.77111374612434,0.128003557760372,21.6487244152383,6.24858435494226e-104,1.49613831582245e-101
WHL22.682450,2114.9145295761,0.72511007216398,0.0336595138545108,21.5424998500626,6.22549085760404e-103,1.46399087685335e-100
WHL22.203656,959.017991232259,1.01675737337937,0.0474301755602947,21.436930421791,6.04732276848139e-102,1.39714374628301e-99
WHL22.162145,588.139667750194,1.56700455954754,0.0736068136685876,21.28885196149,1.44012664477951e-100,3.26983237674161e-98
WHL22.643666,1474.29518769573,0.888233056507743,0.0420136936945998,21.1415131210401,3.30316412676556e-99,7.37277430260604e-97
WHL22.546687,805.47656351773,1.14698039854197,0.0552440518893299,20.7620614222813,9.53859719011228e-96,2.0260288128482e-93
WHL22.487460,1186.22071983279,0.91023987174276,0.0439270138168856,20.7216423938397,2.21016363160212e-95,4.61994362929657e-93
WHL22.270157,3396.54976674656,0.593189770116805,0.0287568101146257,20.6278014756271,1.54517054001759e-94,3.17942981898307e-92
WHL22.533056,340.539417570586,2.15667983399687,0.10670754009268,20.2111287742524,7.81404163937503e-91,1.58312483613738e-88
WHL22.733136,875.075766288821,1.10372055320484,0.0549638767764631,20.0808352309945,1.08554213365022e-89,2.1336573668716e-87
WHL22.72065,888.376542988006,-1.12916849448159,0.0562579995332643,-20.0712521570188,1.31645791933702e-89,2.54947563819841e-87
WHL22.580443,4801.79323679813,0.506383101632527,0.0255087869728793,19.8513203380039,1.07343087921331e-87,2.04869728237103e-85
WHL22.472539,2807.73371199952,0.620680204785894,0.0312938293989836,19.8339486316127,1.51654003972235e-87,2.85304511187194e-85
WHL22.657609,982.686202084697,1.03978718819731,0.0544529187502308,19.0951598566589,2.77008311032902e-81,4.92962492971931e-79
WHL22.286247,478.136824436886,1.31435611061806,0.0692606212703358,18.9769610279398,2.64456792752871e-80,4.64350867168341e-78
WHL22.691597,559.745893609897,1.28003373345237,0.0679424339903721,18.8399746413818,3.55135797744831e-79,6.153662263818e-77
WHL22.110532,947.322266757667,0.961423161664047,0.0514831227946156,18.6745307874875,7.97879995628922e-78,1.36458203408276e-75
WHL22.425395,1277.29874669459,0.815966403442713,0.0437027277325898,18.670834654429,8.5506009111839e-78,1.44362645383821e-75
WHL22.45755,1104.78007206598,0.852003133499505,0.0460859712613083,18.4872556698139,2.61529847615878e-76,4.35960324462467e-74
WHL22.91776,746.211099763437,1.08584696265852,0.0607580391563052,17.8716590880277,1.96075191970681e-71,3.18779531242209e-69
WHL22.621623,3741.90262865249,-0.540752773565752,0.0302765018563289,-17.8604772814174,2.3958185772985e-71,3.80126925836675e-69
WHL22.369239,332.247227483388,1.52620966045307,0.0855784925028779,17.8340330124622,3.84646718441859e-71,6.03025313709624e-69
WHL22.370606,1041.16195346161,0.840525115225202,0.0472711784536819,17.7809215407815,9.93337655877207e-71,1.53897218708788e-68
WHL22.307030,690.486376102257,1.11365109854454,0.0627638091447993,17.7435231181602,1.93418649984075e-70,2.96177930423289e-68
WHL22.460646,462.590094931365,1.32115458930027,0.0745386716500508,17.7244182121049,2.71709482158555e-70,4.11280709258162e-68
WHL22.590973,442.949456105656,1.31200436387304,0.0755692260019814,17.3616223598564,1.61105903274738e-67,2.3573373780278e-65
WHL22.317518,890.538292172582,0.999496322400531,0.0583759488358322,17.1217143760929,1.02220087662253e-65,1.44745842411205e-63
WHL22.169355,858.461160721409,0.858911272793205,0.0502630673304143,17.0883178924792,1.81329336534814e-65,2.54034684343295e-63
WHL22.394084,285.589767231662,1.61158825661003,0.0950789844991425,16.9499944188462,1.92472061204638e-64,2.66806797263566e-62
WHL22.471859,420.908843910667,1.24505097761173,0.0736006371536327,16.9163070560495,3.41162871185074e-64,4.67997276107941e-62
WHL22.32951,531.416113013353,1.33390808749746,0.080429333507163,16.5848457189896,8.96957360668562e-62,1.19313449319639e-59
WHL22.311985,245.840415413985,2.14020167863038,0.129568732984859,16.5178869108836,2.72789245952608e-61,3.5923615799499e-59
WHL22.347086,99.6438328658746,3.42866201276492,0.207939915181282,16.4887150683687,4.42254757618937e-61,5.76638901295423e-59
WHL22.546681,462.305472330285,1.16589623571558,0.0738616558647091,15.7848645832031,3.95497150834423e-56,4.96028759937002e-54
WHL22.99982,2715.99009081265,0.508341317621259,0.0325284580728378,15.6275872801281,4.72352500425122e-55,5.86831139443248e-53
WHL22.20689,526.840943346876,1.05141567626987,0.0675546141182008,15.5639357872757,1.27981073369805e-54,1.57512407028688e-52
