PMI_025701	
PMI_022383	Pm-Kif6
PMI_024860	Pm-Hypp_86
PMI_028520	Pm-Pnpt1
PMI_027505	Pm-Neur14
PMI_026556	Pm-Hypp_228
PMI_027456	PMI_027456
PMI_029040	Pm-Zic
PMI_021731	Pm-Ajpx3
PMI_021732	
PMI_027309	Pm-Atpif1L
PMI_026532	Pm-Dlec1
PMI_026974	Pm-Lipk
PMI_029149	PMI_029149
PMI_027588	
PMI_027413	Pm-Kctd3_1
PMI_027310	Pm-Fam55c
PMI_029268	Pm-Ccp/Hyr/Lnb/7Tm/G
PMI_025020	Pm-C2orf39
PMI_027484	Pm-Ugcg
PMI_026405	Pm-Wdr36
PMI_028625	Pm-Figl1L
PMI_022368	
PMI_022369	PMI_022369
PMI_025618	Pm-Tpd52L2
PMI_028400	Pm-Cg31140pa
PMI_028185	Pm-St6
PMI_026128	PMI_026128
PMI_026129	PMI_026129
PMI_028207	
PMI_027917	Pm-Lamg1f_1
PMI_027230	Pm-Gldc
PMI_029296	PMI_029296
PMI_027111	PMI_027111
PMI_028762	
PMI_017016	Pm-Brca2_1
PMI_017017	Pm-Brca2_1
PMI_017128	Pm-Gal/lec/Pan
PMI_019559	Pm-Flj20433L
PMI_022230	Pm-Aof2
PMI_024079	Pm-Dnajc13-2
PMI_024781	
PMI_028138	
PMI_019827	Pm-Frem2
PMI_024653	
PMI_024654	Pm-Slc25a11
PMI_024091	Pm-Hypp_10
PMI_027084	Pm-Galnt7
PMI_016661	Pm-Abcc9d
PMI_020149	Pm-Zfc3h1
PMI_029489	Pm-Abcc9d
PMI_028785	Pm-RtL_7
PMI_021779	Pm-PlexA4_2
PMI_022614	Pm-Fbn2
PMI_026252	Pm-Scnn1bL
PMI_010418	Pm-Xpo7
PMI_010419	Pm-Xpo7
PMI_028247	Pm-Ppcs
PMI_020553	PMI_020553
PMI_020554	Pm-Flj37953l
PMI_028447	Pm-Nags
PMI_028475	
PMI_016944	Pm-Crat
PMI_016945	Pm-Ppp2r4
PMI_025581	
PMI_009741	Pm-Egfi
PMI_027580	Pm-Aadc
PMI_027637	Pm-Hypp_1467
PMI_029641	Pm-Lmo2t
PMI_021636	Pm-C7orf28b
PMI_026507	Pm-Ahcy
PMI_023593	Pm-PtprA
PMI_020920	Pm-Pdk1
PMI_021587	Pm-Srcr210
PMI_021588	Pm-Srcr224
PMI_018782	
PMI_018783	
PMI_023052	Pm-Adam/TsL3
PMI_029244	
PMI_028034	
PMI_013294	Pm-Mdn1_2
PMI_013295	Pm-Mdn1_2
PMI_013034	Pm-Cntln
PMI_029627	
PMI_011883	Pm-Hydin
PMI_028532	Pm-Klhdc8a
PMI_025307	Pm-EceL_1
PMI_021839	Pm-Mmr
PMI_029604	Pm-Dnajb1
PMI_029024	Pm-Rad17
PMI_028045	
PMI_020962	PMI_020962
PMI_020963	Pm-Ank1L_1
PMI_029017	Pm-Adcy2_1
PMI_024451	Pm-Ddx55
PMI_027602	Pm-Pdk1
PMI_028191	
PMI_026063	Pm-Cdkl1
PMI_026201	Pm-Rabl2
PMI_026856	Pm-St8sia4_4
PMI_026857	
PMI_026491	Pm-Reptin52
PMI_027591	
PMI_027592	
PMI_027306	Pm-Vps18h
PMI_023791	Pm-Ilk
PMI_025560	Pm-Acsl1
PMI_024433	
PMI_024434	PMI_024434
PMI_027447	Pm-Zfyve28
PMI_025586	Pm-Gcn1l1
PMI_027837	Pm-Egf/HyalinL5
PMI_024428	Pm-Herc4
PMI_028454	Pm-Dscr1l2_1
PMI_026174	Pm-Egf/Ig/Lnb/7Tm/Gp
PMI_015385	Pm-Hypp_2777
PMI_015386	
